# Gregorian month start,lunar year,lunar month,leap month
# Source: https://raw.githubusercontent.com/manakai/data-locale/241fa20712a179b2287d801bb30b51af227461e6/data/calendar/kyuureki-map.txt
# Source SHA-256: cfd10efe073a8a8a7ba0de7c53402a7c67a0c8a91c5c95fd14e98d1fc5eb1dfb
1970-03-08,1970,2,false
1970-04-06,1970,3,false
1970-05-05,1970,4,false
1970-06-04,1970,5,false
1970-07-04,1970,6,false
1970-08-02,1970,7,false
1970-09-01,1970,8,false
1970-09-30,1970,9,false
1970-10-30,1970,10,false
1970-11-29,1970,11,false
1970-12-28,1970,12,false
1971-01-27,1971,1,false
1971-02-25,1971,2,false
1971-03-27,1971,3,false
1971-04-25,1971,4,false
1971-05-24,1971,5,false
1971-06-23,1971,5,true
1971-07-22,1971,6,false
1971-08-21,1971,7,false
1971-09-19,1971,8,false
1971-10-19,1971,9,false
1971-11-18,1971,10,false
1971-12-18,1971,11,false
1972-01-16,1971,12,false
1972-02-15,1972,1,false
1972-03-15,1972,2,false
1972-04-14,1972,3,false
1972-05-13,1972,4,false
1972-06-11,1972,5,false
1972-07-11,1972,6,false
1972-08-09,1972,7,false
1972-09-08,1972,8,false
1972-10-07,1972,9,false
1972-11-06,1972,10,false
1972-12-06,1972,11,false
1973-01-05,1972,12,false
1973-02-03,1973,1,false
1973-03-05,1973,2,false
1973-04-03,1973,3,false
1973-05-03,1973,4,false
1973-06-01,1973,5,false
1973-06-30,1973,6,false
1973-07-30,1973,7,false
1973-08-28,1973,8,false
1973-09-26,1973,9,false
1973-10-26,1973,10,false
1973-11-25,1973,11,false
1973-12-25,1973,12,false
1974-01-23,1974,1,false
1974-02-22,1974,2,false
1974-03-24,1974,3,false
1974-04-22,1974,4,false
1974-05-22,1974,4,true
1974-06-20,1974,5,false
1974-07-19,1974,6,false
1974-08-18,1974,7,false
1974-09-16,1974,8,false
1974-10-15,1974,9,false
1974-11-14,1974,10,false
1974-12-14,1974,11,false
1975-01-12,1974,12,false
1975-02-11,1975,1,false
1975-03-13,1975,2,false
1975-04-12,1975,3,false
1975-05-11,1975,4,false
1975-06-10,1975,5,false
1975-07-09,1975,6,false
